Date,AAPL,AMZN,TSLA
6/1/12,17.283522,208.220001,5.63
6/4/12,17.385189,214.570007,5.576
6/5/12,17.340208,213.210007,5.582
6/6/12,17.606089,217.639999,5.844
6/7/12,17.614098,218.800003,5.786
6/8/12,17.879053,218.479996,6.016
6/11/12,17.597155,216.5,5.824
6/12/12,17.750891,216.419998,5.932
6/13/12,17.627657,214.729996,5.954
6/14/12,17.608244,214.449997,5.878
6/15/12,17.688347,218.350006,5.982
6/18/12,18.047277,222.660004,6.368
6/19/12,18.097492,224.029999,6.418
6/20/12,18.046043,223.020004,6.756
6/21/12,17.797413,220.570007,6.438
6/22/12,17.933897,222.160004,6.758
6/25/12,17.584835,220.070007,6.622
6/26/12,17.623648,225.610001,6.322
6/27/12,17.699749,225.619995,6.392
6/28/12,17.531841,221.309998,6.282
6/29/12,17.992434,228.350006,6.258
7/2/12,18.254925,229.320007,6.08
7/3/12,18.467197,229.529999,6.132
7/5/12,18.791613,227.059998,6.246
7/6/12,18.666531,225.050003,6.198
7/9/12,18.913307,225.050003,6.298
7/10/12,18.738319,219.5,6.254
7/11/12,18.621861,218.369995,6.302
7/12/12,18.451488,215.360001,6.54
7/13/12,18.638496,218.389999,6.85
7/16/12,18.698275,216.009995,7.192
7/17/12,18.69919,216.929993,6.67
7/18/12,18.678242,217.470001,6.43
7/19/12,18.926563,226.169998,6.454
7/20/12,18.617853,228.289993,6.358
7/23/12,18.603376,226.009995,6.132
7/24/12,18.513718,223.039993,5.968
7/25/12,17.714233,217.050003,5.79
7/26/12,17.711454,220.009995,5.626
7/27/12,18.028173,237.320007,5.902
7/30/12,18.332258,236.089996,5.47
7/31/12,18.816883,233.300003,5.484
8/1/12,18.695189,232.089996,5.25
8/2/12,18.725378,230.809998,5.22
8/3/12,18.969082,234.970001,5.454
8/6/12,19.18012,233.990005,5.654
8/7/12,19.129593,236.559998,6.05
8/8/12,19.097239,234.380005,5.818
8/9/12,19.206148,234.059998,5.882
8/10/12,19.23617,232.75,5.988
8/13/12,19.492977,232.440002,6.234
8/14/12,19.545275,233.190002,5.884
8/15/12,19.518656,237.419998,5.88
8/16/12,19.689148,241.550003,6.06
8/17/12,20.053318,241.169998,6.002
8/20/12,20.580564,240.350006,5.902
8/21/12,20.299303,239.449997,5.822
8/22/12,20.695669,243.100006,5.99
8/23/12,20.502594,241.199997,6.146
8/24/12,20.520847,245.740005,5.9
8/27/12,20.906376,243.919998,5.664
8/28/12,20.879145,246.110001,5.738
8/29/12,20.837996,247.119995,5.682
8/30/12,20.540956,246.220001,5.682
8/31/12,20.583344,248.270004,5.704
9/4/12,20.884403,247.880005,5.628
9/5/12,20.737745,246.220001,5.588
9/6/12,20.924625,251.380005,5.71
9/7/12,21.053654,259.140015,5.87
9/10/12,20.505991,257.089996,5.474
9/11/12,20.439472,255.669998,5.56
9/12/12,20.724129,255.630005,5.656
9/13/12,21.132242,260.23999,5.896
9/14/12,21.389059,261.269989,6.078
9/17/12,21.652061,258,6.508
9/18/12,21.717964,258.75,6.268
9/19/12,21.723841,261.679993,6.21
9/20/12,21.618643,260.809998,6.18
9/21/12,21.66165,257.470001,6.004
9/24/12,21.373894,254.800003,6.132
9/25/12,20.840155,252.460007,5.532
9/26/12,20.58149,249.669998,5.508
9/27/12,21.080883,256.589996,5.698
9/28/12,20.640902,254.320007,5.856
10/1/12,20.402338,252.009995,5.832
10/2/12,20.461748,250.600006,5.96
10/3/12,20.77549,255.919998,5.86
10/4/12,20.631615,260.470001,5.88
10/5/12,20.191938,258.51001,5.778
10/8/12,19.745768,259.059998,5.85
10/9/12,19.673986,250.960007,5.674
10/10/12,19.830545,244.990005,5.68
10/11/12,19.434187,244.220001,5.664
10/12/12,19.484005,242.360001,5.528
10/15/12,19.640253,244.179993,5.466
10/16/12,20.105305,243.940002,5.612
10/17/12,19.945026,247.490005,5.764
10/18/12,19.574661,244.850006,5.608
10/19/12,18.869204,240,5.548
10/22/12,19.617674,233.779999,5.57
10/23/12,18.978111,234.309998,5.678
10/24/12,19.08548,228.490005,5.484
10/25/12,18.859917,222.919998,5.504
10/26/12,18.688503,238.240005,5.476
10/31/12,18.41993,232.889999,5.626
11/1/12,18.457687,232.139999,5.85
11/2/12,17.846907,232.419998,5.784
11/5/12,18.088867,234.330002,6.3
11/6/12,18.034098,237.559998,6.23
