Date,AAPL,AMZN,TSLA
1/31/13,319334400,6772100,4507000
2/1/13,539484400,6115000,5503000
2/4/13,477117200,3723600,5640000
2/5/13,573347600,4012900,6551000
2/6/13,593706400,2770400,9466000
2/7/13,704580800,3975700,5983000
2/8/13,633158400,3879200,5699000
2/11/13,517490400,3403700,16331500
2/12/13,609053200,2943700,11306500
2/13/13,475207600,5293000,4834000
2/14/13,355275200,3463000,4953500
2/15/13,391745200,3979900,10088000
2/19/13,435783600,2854200,13507000
2/20/13,476302400,3528900,15610000
2/21/13,447182400,3637400,45189000
2/22/13,330654800,3124800,12736500
2/25/13,372579200,3032400,14447000
2/26/13,501499600,3348600,13814500
2/27/13,587350400,2908100,9796000
2/28/13,322515200,2667200,9824500
3/1/13,552448400,2957000,7733000
3/4/13,582755600,3453000,8788500
3/5/13,638433600,3686200,10435000
3/6/13,460250000,2050700,5750000
3/7/13,468473600,1939000,5791500
3/8/13,391482000,1879800,4560500
3/11/13,474236000,1904900,7897500
3/12/13,465911600,3246200,6375500
3/13/13,405549200,1884200,4110000
3/14/13,303875600,5226700,10105000
3/15/13,643960800,4865900,16398000
3/18/13,606197200,2720200,6580500
3/19/13,526775200,3738500,5492500
3/20/13,308660800,2738900,7115000
3/21/13,383255600,2806400,5731500
3/22/13,395105200,3124600,2201000
3/25/13,501135600,2513900,11894000
3/26/13,294294000,2421000,9041000
3/27/13,331237200,2874900,6481500
3/28/13,442839600,2473700,5793500
4/1/13,389732000,2524800,70492500
4/2/13,529519200,2631100,33262000
4/3/13,363216000,2413800,28218000
4/4/13,358447600,1964400,11324000
4/5/13,383695200,2557400,7762000
4/8/13,300829200,2295600,8395000
4/9/13,306614000,2156600,8480500
4/10/13,375928000,2322500,10605500
4/11/13,328364400,3090500,17237000
4/12/13,238613200,2866300,15747000
4/15/13,317520000,3326000,8407000
4/16/13,305771200,2137200,15902000
4/17/13,945056000,3135100,10592500
4/18/13,666299200,3137600,16839500
4/19/13,609274400,2602500,15058500
4/22/13,429920400,2119100,19697000
4/23/13,664238400,2270600,18669000
4/24/13,969651200,1852800,13150000
4/25/13,384837600,6116500,13979500
4/26/13,764097600,14030000,18110500
4/29/13,640326400,7117000,18198500
4/30/13,691538400,4248800,27613000
5/1/13,506909200,4391400,13714000
5/2/13,421828400,3936200,15252000
5/3/13,361300800,3514000,16893500
5/6/13,496641600,2347800,21833500
5/7/13,483753200,3133700,49955000
5/8/13,472598000,2677000,33849500
5/9/13,398487600,2769300,143025000
5/10/13,334852000,3145300,125413000
5/13/13,316948800,2149500,112084500
5/14/13,447118000,2700000,185819500
5/15/13,741613600,2720500,84393500
5/16/13,603204000,1643500,108070000
5/17/13,427904400,2527300,95011000
